activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001424002,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,0,2,1,32,2,2,1,2,85000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,NA,1,1,3,5,1,NA,47,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,>74,9999,Yes,NA,1,1,6,,,,,10,,,,2488,63.87,155700,82,480,946,76
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001450607,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,1,1,1,2,2,2,675000.0,100.00000,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,675000,1,1,3,5,1,NA,155,>60%,2,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,45-54,55-64,No,No,1,1,6,,,,,1,5,,,6054,56.87,155700,148,787,1259,25
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001404400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Joint,Joint,2,0,2,1,1,1,2,2,2,1015000.0,75.00000,7.500,0.354,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,1355000,1,1,3,5,1,NA,534,20%-<30%,1,9,3,,,,,3,,,,,2,2,3,5,,,,5,,,,,2,2,1,2,2,2,25-34,35-44,No,No,1,1,1,,,,,10,,,,5621,40.49,155700,159,2014,1978,30
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001408700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,2,1,32,1,2,2,2,155000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,74,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,7774,93.18,155700,40,1128,2179,0
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001407800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,1,2,2,2,155000.0,17.65000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,855000,1,2,3,5,1,NA,72,38,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,9,,,,2373,68.18,155700,91,538,705,78
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001421800,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,2,2,125000.0,58.44000,7.500,0.852,2,563.90,NA,395.00,,,84,NA,NA,2,2,2,2,1355000,1,1,3,5,1,NA,333,30%-<36%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,1,1,6,,,,,10,,,,2110,31.28,155700,138,617,867,0
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001408500,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,1,2,2,1,1365000.0,61.00000,6.910,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,2245000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,5752,96.44,155700,53,579,1565,74
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001402700,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,1,2,2,1,2305000.0,64.00000,6.730,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,1,2,3605000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,1827,77.34,155700,83,230,534,0
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001408400,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,1,2,2,1,675000.0,56.25000,6.910,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,1205000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,3927,95.67,155700,61,420,931,75
2024,549300GAX7IKJUKCJE72,36084,CA,06001,06001403702,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,1885000.0,65.00000,6.760,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,1,1,2,2955000,1,3,3,5,5-24,0,NA,NA,1,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,2149,50.3,155700,130,185,177,69
