activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013392202,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,2,1,2,1,2,65000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,NA,1,1,3,5,1,NA,60,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,4889,80.77,155700,73,1045,1623,58
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013304001,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,155000.0,34.53000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,955000,1,1,3,5,1,NA,154,50%-60%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,55-64,Yes,Yes,1,1,6,,,,,1,,,,5748,44.89,155700,148,1704,2061,13
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013370000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,8,0,1,1,1,1,2,2,2,655000.0,87.88000,6.875,0.205,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,825000,1,1,3,5,2,NA,149,48,1,10,2,,,,,5,,,,,2,4,2,27,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,2953,61.67,155700,83,846,1056,69
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013325000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,1,32,2,2,1,2,205000.0,40.68000,7.990,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1355000,1,1,3,5,1,NA,137,30%-<36%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,55-64,9999,No,NA,1,1,6,,,,,10,,,,5733,32.03,155700,120,1668,1900,58
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355308,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,125000.0,63.25000,7.490,-0.080,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,895000,1,1,3,5,1,NA,192,36,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,3550,29.94,155700,131,1221,1419,28
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013382000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,2 or more minority races,Joint,1,0,2,1,2,1,2,2,2,255000.0,35.71000,6.375,-0.071,2,4850.00,NA,3115.00,1770.00,,360,NA,NA,2,2,2,2,705000,1,1,3,5,1,NA,107,30%-<36%,2,9,2,,,,,2,,,,,2,2,1,3,,,,1,3,,,,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,1,,,,,10,,,,8334,87.77,155700,43,1085,2059,56
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355112,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,125000.0,34.03000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1755000,1,1,3,5,1,NA,-171,>60%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,1,9,,,5636,35.93,155700,134,1993,2198,35
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013303207,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,2,2,2,2,2,105000.0,51.84000,7.490,1.354,2,489.95,NA,395.00,,,180,NA,NA,2,2,2,2,805000,1,1,3,5,1,NA,138,41,2,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,1,1,6,,,,,10,,,,6600,81.23,155700,75,1039,1619,22
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013313204,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,2,1,4,1,2,2,2,285000.0,42.37000,6.000,-0.554,2,3394.66,NA,1576.66,231.66,,240,NA,NA,2,2,2,2,675000,1,1,3,5,1,NA,134,30%-<36%,2,10,2,,,,,5,,,,,2,4,2,23,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,1,,,,,10,,,,5704,77.96,155700,68,921,1500,47
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013307205,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,0,2,1,2,2,2,2,2,105000.0,78.49000,7.490,1.152,2,489.95,NA,395.00,,,240,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,98,42,2,10,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,7484,77.59,155700,35,993,1809,41
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013340001,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,205000.0,60.45000,7.740,0.200,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1295000,1,1,3,5,1,NA,194,30%-<36%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,65-74,Yes,Yes,1,1,6,,,,,10,,,,6419,42.95,155700,75,1139,1944,48
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013313107,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,495000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,120,2,2,2,2,NA,1,1,3,5,1,NA,216,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,3071,72.58,155700,90,599,762,46
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355110,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,2,4,1,2,2,2,85000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,95,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,3,,,,,10,,,,4434,82.68,155700,79,808,1205,32
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013331000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,4,0,2,1,4,2,2,2,2,35000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,84,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,205,NA,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,55-64,65-74,No,Yes,1,1,6,,,,,10,,,,7337,53.35,155700,77,1773,2246,58
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013356001,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,65000.0,56.92000,7.740,0.170,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,695000,1,1,3,5,1,NA,184,39,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,3908,79.81,155700,92,921,1138,44
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013303202,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,105000.0,69.86000,7.990,0.420,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1015000,1,1,3,5,1,NA,287,42,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,9125,52.6,155700,120,1922,2529,23
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013374000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,2,2,2,1,2,35000.0,8.70000,7.740,0.120,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,505000,1,1,3,5,1,NA,74,<20%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,4994,81.82,155700,60,929,1551,70
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355110,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,0,2,1,4,2,2,1,2,135000.0,78.88000,8.240,0.670,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,655000,1,1,3,5,1,NA,123,39,2,10,2,,,,,5,,,,,2,4,2,23,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4434,82.68,155700,79,808,1205,32
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013303206,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,0,2,1,32,2,2,1,2,105000.0,61.35000,7.740,0.170,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,795000,1,1,3,5,1,NA,149,20%-<30%,2,9,2,,,,,3,,,,,2,2,2,22,,,,6,,,,,2,2,1,2,2,2,65-74,55-64,Yes,No,1,1,6,,,,,10,,,,4700,53.6,155700,103,1184,1421,16
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013325000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,255000.0,49.18000,7.740,0.170,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1335000,1,1,3,5,1,NA,182,20%-<30%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,55-64,No,No,1,1,6,,,,,10,,,,5733,32.03,155700,120,1668,1900,58
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013338302,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,4,2,2,1,2,255000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,NA,1,1,3,5,1,NA,484,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,5981,34.44,155700,167,1702,2040,54
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013304006,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,4,2,2,1,2,95000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,NA,1,1,3,5,1,NA,107,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,10,,,,3987,47.25,155700,144,876,942,13
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013326000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,85000.0,38.88000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1205000,1,1,3,5,1,NA,145,50%-60%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,25-34,Yes,No,1,1,6,,,,,1,3,,,3508,28.31,155700,118,1224,1343,55
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355202,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,5,0,2,1,4,2,2,1,2,255000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,NA,1,1,3,5,1,NA,312,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,35-44,45-54,No,No,1,1,6,,,,,10,,,,3689,87.02,155700,91,442,563,10
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013303107,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,4,2,2,1,2,75000.0,62.87000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,855000,1,1,3,5,1,NA,95,50%-60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,6966,59.35,155700,85,1316,1896,18
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355120,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,2,2,2,1,2,45000.0,80.00000,7.990,0.420,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,675000,1,1,3,5,1,NA,203,20%-<30%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,45-54,No,No,1,1,6,,,,,10,,,,4248,79.99,155700,76,789,1244,25
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355119,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,32,1,2,2,2,225000.0,31.53000,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,725000,1,1,3,5,1,NA,46,>60%,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,65-74,65-74,Yes,Yes,1,1,1,,,,,1,9,,,4788,81.93,155700,115,885,1163,18
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013320001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,475000.0,68.35000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,695000,1,1,3,5,1,NA,NA,NA,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,7,9,,3626,52.54,155700,72,767,1018,51
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013303209,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,4,0,2,1,2,2,2,2,2,75000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,137,NA,9,9,2,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,5403,65.63,155700,99,1256,1393,13
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013375000,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,31,1,2,2,1,525000.0,52.00000,6.990,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,1015000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,4869,96.2,155700,53,455,1083,64
2024,549300GAX7IKJUKCJE72,36084,CA,06013,06013355307,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,35000.0,51.76000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,905000,1,1,3,5,1,NA,135,47,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,>74,No,Yes,1,1,6,,,,,1,,,,4445,38.56,155700,117,1374,1532,29
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030605,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,2,2,2,2,2,65000.0,79.35000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,139,50%-60%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,6,,,,,1,,,,1696,19.93,113700,80,608,815,50
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017031406,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,2,2,25000.0,80.00000,8.000,1.810,3,474.00,NA,395.00,,,240,NA,NA,2,2,2,2,375000,1,2,3,5,1,NA,149,42,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,65-74,9999,Yes,NA,1,1,6,,,,,10,,,,5526,18.82,113700,110,1784,2368,36
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017031404,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,4,2,2,2,2,75000.0,79.84000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,895000,1,1,3,5,1,NA,113,>60%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,1,,,,2508,17.34,113700,99,731,922,38
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030801,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,2,2,165000.0,76.52000,8.250,1.910,2,513.90,NA,395.00,,,180,NA,NA,2,2,2,2,605000,1,1,3,5,1,NA,254,20%-<30%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,35-44,No,No,1,1,6,,,,,10,,,,4347,20.82,113700,144,1423,1607,33
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030701,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,4,2,2,2,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,210,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,6177,24.12,113700,148,1829,1950,27
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030808,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,4,2,2,2,2,95000.0,52.36000,8.250,2.563,2,509.90,NA,395.00,,,180,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,136,42,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,6,,,,,10,,,,6726,24.89,113700,125,1700,1970,26
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030709,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,4,2,2,1,2,105000.0,87.16000,NA,NA,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,1115000,1,1,3,5,1,NA,326,44,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,4,,,,5065,26,113700,202,1559,1798,22
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017031406,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,2,1,1,1,2,2,2,355000.0,80.00000,7.500,1.344,3,10968.94,NA,8198.44,6853.44,,360,NA,NA,2,2,2,2,445000,1,2,3,5,1,NA,348,30%-<36%,1,9,2,,,,,2,,,,,2,2,2,23,,,,2,23,,,,2,2,2,2,2,2,35-44,35-44,No,No,1,1,1,,,,,10,,,,5526,18.82,113700,110,1784,2368,36
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030701,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,2,2,115000.0,79.88000,8.500,3.149,2,509.90,NA,395.00,,,180,NA,NA,2,2,2,2,1295000,1,1,3,5,1,NA,234,37,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,6177,24.12,113700,148,1829,1950,27
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030808,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,2,2,2,2,2,105000.0,63.25000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,875000,1,1,3,5,1,NA,92,50%-60%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,6726,24.89,113700,125,1700,1970,26
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030712,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,2,2,2,2,2,205000.0,71.96000,6.990,1.142,2,489.95,NA,395.00,,,180,NA,NA,2,2,2,2,925000,1,1,3,5,1,NA,250,36,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,5114,36.33,113700,226,1325,1452,9
2024,549300GAX7IKJUKCJE72,40900,CA,06017,06017030706,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,4,2,2,1,2,35000.0,18.32000,7.490,-0.080,2,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,905000,1,1,3,5,1,NA,86,42,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,>74,9999,Yes,NA,1,1,6,,,,,10,,,,6563,30.55,113700,150,1549,1920,30
2024,549300GAX7IKJUKCJE72,23420,CA,06019,06019000200,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,1,1,2,2,1,585000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,NA,1,3,3,5,5-24,0,NA,NA,9,9,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,4,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,3251,96,84000,73,154,748,53
2024,549300GAX7IKJUKCJE72,23420,CA,06019,06019005802,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,1,4,2,2,1,2,75000.0,72.99000,9.250,0.970,3,NA,NA,NA,NA,NA,300,NA,3,2,1,2,2,575000,1,1,3,5,1,NA,104,37,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,4805,48.78,84000,249,1498,1605,27
2024,549300GAX7IKJUKCJE72,23420,CA,06019,06019000601,NA,Conventional:First Lien,Multifamily:Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,1,1,1,2,2,1,485000.0,70.00000,6.240,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,1,2,695000,1,3,3,5,5-24,0,NA,NA,2,10,4,,,,,5,,,,,3,4,7,,,,,8,,,,,3,4,3,5,3,4,8888,9999,NA,NA,1,1,6,,,,,10,,,,4673,85.04,84000,38,243,997,44
2024,549300GAX7IKJUKCJE72,99999,CA,06021,06021010102,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,1,2,2,2,2,2,65000.0,NA,8.500,2.578,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,265,20%-<30%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,1,1,6,,,,,10,,,,4384,54.63,87900,93,798,1270,41
2024,549300GAX7IKJUKCJE72,99999,CA,06021,06021010102,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,2,2,2,2,2,65000.0,26.55000,8.500,2.248,2,521.20,NA,395.00,,,180,NA,NA,2,2,2,2,715000,1,1,3,5,1,NA,353,30%-<36%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,>74,65-74,Yes,Yes,1,1,6,,,,,10,,,,4384,54.63,87900,93,798,1270,41
